mean_train_accuracy,mean_train_precision,mean_train_recall,mean_train_auc,mean_test_accuracy,mean_test_precision,mean_test_recall,mean_test_auc,std_train_accuracy,std_train_precision,std_train_recall,std_train_auc,std_test_accuracy,std_test_precision,std_test_recall,std_test_auc,CV folds,random seed,test size,classifier name,dim reducer,dim reduced to,classifier params,raw,stats features,bands features,channels
1.0,1.0,1.0,1.0,0.5625,0.5833333333333333,0.625,0.5625,0.0,0.0,0.0,0.0,0.36975498644372606,0.3535533905932738,0.33071891388307384,0.44633927678392815,5.0,24.0,0.2,ExtraTreesClassifier,None,-1,None,no,yes,yes,Fz
1.0,1.0,1.0,1.0,0.25,0.14583333333333331,0.25,0.09375,0.0,0.0,0.0,0.0,0.125,0.1943203969393503,0.3535533905932738,0.10364452469860624,5.0,24.0,0.2,GradientBoostingClassifier,None,-1,None,no,yes,yes,Fz
1.0,1.0,1.0,1.0,0.25,0.22916666666666666,0.375,0.125,0.0,0.0,0.0,0.0,0.125,0.1851707170274081,0.33071891388307384,0.125,5.0,24.0,0.2,XGBClassifier,None,-1,None,no,yes,yes,Fz
0.6380952380952382,0.6719047619047618,0.5999999999999999,0.6859410430839002,0.5,0.5,0.5,0.5,0.050282647814149685,0.0924398437717919,0.09331389496316868,0.08862051090306533,0.2795084971874737,0.37267799624996495,0.3535533905932738,0.2795084971874737,5.0,24.0,0.2,KNeighborsClassifier,None,-1,None,no,yes,yes,Fz
0.9095238095238096,0.9114285714285714,0.938095238095238,0.972562358276644,0.25,0.2083333333333333,0.25,0.375,0.06925256939166184,0.11931778867326345,0.0761904761904762,0.02640920337694452,0.21650635094610965,0.21650635094610968,0.25,0.375,5.0,24.0,0.2,GaussianNB,None,-1,None,no,yes,yes,Fz
1.0,1.0,1.0,1.0,0.1875,0.22916666666666666,0.375,0.34375,0.0,0.0,0.0,0.0,0.16535945694153692,0.1851707170274081,0.33071891388307384,0.3232525135246438,5.0,24.0,0.2,Stacking,None,-1,None,no,yes,yes,Fz
1.0,1.0,1.0,1.0,0.5,0.5,0.375,0.375,0.0,0.0,0.0,0.0,0.21650635094610965,0.3535533905932738,0.21650635094610965,0.2795084971874737,5.0,24.0,0.2,LinearSVC,None,-1,None,Yes,no,no,all
1.0,1.0,1.0,1.0,0.375,0.375,0.25,0.4375,0.0,0.0,0.0,0.0,0.2795084971874737,0.414578098794425,0.25,0.2724311839712921,5.0,24.0,0.2,LinearSVC,PCA,100,None,Yes,no,no,all
1.0,1.0,1.0,1.0,0.4375,0.4375,0.375,0.5625,0.0,0.0,0.0,0.0,0.2420614591379636,0.3903123748998999,0.33071891388307384,0.36975498644372606,5.0,24.0,0.2,SVC,None,-1,None,Yes,no,no,all
1.0,1.0,1.0,1.0,0.5625,0.5625,0.5,0.75,0.0,0.0,0.0,0.0,0.2420614591379636,0.3903123748998999,0.3535533905932738,0.25,5.0,24.0,0.2,SVC,PCA,100,None,Yes,no,no,all
